ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
82-422-089               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-089               ,1770,Cable_Color                                       ,12197,White,
82-422-089               ,1773,Cable_Features                                    ,,,"4-Conductor 18AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-089               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-089               ,1707,Cable_Model                                       ,,,SPW-CL2-4C18-100-WH
82-422-089               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:18AWG  Strand:16/0.254㊣0.008*4C  Outer Dimensions of Jacket:OD6.3mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.6Hm  Capacitance Conductor to Conductor:208.6 PF/M  Conductor Resistance:Max. 22.2次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-090               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-090               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-090               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-090               ,1770,Cable_Color                                       ,12197,White,
82-422-090               ,1773,Cable_Features                                    ,,,"2-Conductor 16AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-090               ,1774,Cable_Length                                      ,12132,31 - 50 ft.,50 ft.
82-422-090               ,1707,Cable_Model                                       ,,,SPW-CL2-2C16-50-WH
82-422-090               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:16AWG  Strand:65/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD6.2mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.42mH  Capacitance Conductor to Conductor:235.6 PF/M  Conductor  Resistance:Max. 14次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-093               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-093               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-093               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-093               ,1770,Cable_Color                                       ,12197,White,
82-422-093               ,1773,Cable_Features                                    ,,,"2-Conductor 16AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Reel in box makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-093               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,500 ft.
82-422-093               ,1707,Cable_Model                                       ,,,SPW-CL2-2C16-500-WH
82-422-093               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:16AWG  Strand:65/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD6.2mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.42mH  Capacitance Conductor to Conductor:235.6 PF/M  Conductor  Resistance:Max. 14次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-094               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-094               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-094               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-094               ,1770,Cable_Color                                       ,12197,White,
82-422-094               ,1773,Cable_Features                                    ,,,"4-Conductor 16AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-094               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-094               ,1707,Cable_Model                                       ,,,SPW-CL2-4C16-100-WH
82-422-094               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:16AWG  Strand:65/0.16㊣0.008*4C  Outer Dimensions of Jacket:OD7.3mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.42mH  Capacitance Conductor to Conductor:235.6 PF/M  Conductor  Resistance:Max. 14次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-095               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-095               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-095               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-095               ,1770,Cable_Color                                       ,12197,White,
82-422-095               ,1773,Cable_Features                                    ,,,"4-Conductor 16AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-095               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,250 ft.
82-422-095               ,1707,Cable_Model                                       ,,,SPW-CL2-4C16-250-WH
82-422-095               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:16AWG  Strand:65/0.16㊣0.008*4C  Outer Dimensions of Jacket:OD7.3mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.42mH  Capacitance Conductor to Conductor:235.6 PF/M  Conductor  Resistance:Max. 14次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-096               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-096               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-096               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-096               ,1770,Cable_Color                                       ,12197,White,
82-422-096               ,1773,Cable_Features                                    ,,,"2-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-096               ,1774,Cable_Length                                      ,12132,31 - 50 ft.,50 ft.
82-422-096               ,1707,Cable_Model                                       ,,,SPW-CL2-2C14-50-WH
82-422-096               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD7.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-097               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-097               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-097               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-097               ,1770,Cable_Color                                       ,12197,White,
82-422-097               ,1773,Cable_Features                                    ,,,"2-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-097               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-097               ,1707,Cable_Model                                       ,,,SPW-CL2-2C14-100-WH
82-422-097               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD7.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-098               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-098               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-098               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-098               ,1770,Cable_Color                                       ,12197,White,
82-422-098               ,1773,Cable_Features                                    ,,,"2-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-098               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,250 ft.
82-422-098               ,1707,Cable_Model                                       ,,,SPW-CL2-2C14-250-WH
82-422-098               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD7.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-099               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-099               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-099               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-099               ,1770,Cable_Color                                       ,12197,White,
82-422-099               ,1773,Cable_Features                                    ,,,"2-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Reel in box makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-099               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,500 ft.
82-422-099               ,1707,Cable_Model                                       ,,,SPW-CL2-2C14-500-WH
82-422-099               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*2C  Outer Dimensions of Jacket:OD7.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-100               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-100               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-100               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-100               ,1770,Cable_Color                                       ,12197,White,
82-422-100               ,1773,Cable_Features                                    ,,,"4-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-100               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-100               ,1707,Cable_Model                                       ,,,SPW-CL2-4C14-100-WH
82-422-100               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*4C  Outer Dimensions of Jacket:OD8.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-101               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-101               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-101               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-101               ,1770,Cable_Color                                       ,12197,White,
82-422-101               ,1773,Cable_Features                                    ,,,"4-Conductor 14AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-101               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,250 ft.
82-422-101               ,1707,Cable_Model                                       ,,,SPW-CL2-4C14-250-WH
82-422-101               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:14AWG  Strand:105/0.16㊣0.008*4C  Outer Dimensions of Jacket:OD8.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.29mH  Capacitance Conductor to Conductor:276.5 PF/M  Conductor  Resistance:Max. 8.78次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-102               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-102               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-102               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-102               ,1770,Cable_Color                                       ,12197,White,
82-422-102               ,1773,Cable_Features                                    ,,,"2-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-102               ,1774,Cable_Length                                      ,12132,31 - 50 ft.,50 ft.
82-422-102               ,1707,Cable_Model                                       ,,,SPW-CL2-2C12-50-WH
82-422-102               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*2C  Outer Dimensions of Jacket:OD7.8mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-103               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-103               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-103               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-103               ,1770,Cable_Color                                       ,12197,White,
82-422-103               ,1773,Cable_Features                                    ,,,"2-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-103               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-103               ,1707,Cable_Model                                       ,,,SPW-CL2-2C12-100-WH
82-422-103               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*2C  Outer Dimensions of Jacket:OD7.8mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-104               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-104               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-104               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-104               ,1770,Cable_Color                                       ,12197,White,
82-422-104               ,1773,Cable_Features                                    ,,,"2-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-104               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,250 ft.
82-422-104               ,1707,Cable_Model                                       ,,,SPW-CL2-2C12-250-WH
82-422-104               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*2C  Outer Dimensions of Jacket:OD7.8mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-105               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-105               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-105               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-105               ,1770,Cable_Color                                       ,12197,White,
82-422-105               ,1773,Cable_Features                                    ,,,"2-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Reel in box makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-105               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,500 ft.
82-422-105               ,1707,Cable_Model                                       ,,,SPW-CL2-2C12-500-WH
82-422-105               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*2C  Outer Dimensions of Jacket:OD7.8mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-106               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-106               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-106               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-106               ,1770,Cable_Color                                       ,12197,White,
82-422-106               ,1773,Cable_Features                                    ,,,"4-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-106               ,1774,Cable_Length                                      ,12133,51 - 100 ft.,100 ft.
82-422-106               ,1707,Cable_Model                                       ,,,SPW-CL2-4C12-100-WH
82-422-106               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*4C  Outer Dimensions of Jacket:OD9.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-107               ,10898,A/V Cable_Conductor                               ,57118,Oxygen-free Copper Conductor,
82-422-107               ,150,A/V Cable_Type                                    ,55366,Speaker Wires,
82-422-107               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-107               ,1770,Cable_Color                                       ,12197,White,
82-422-107               ,1773,Cable_Features                                    ,,,"4-Conductor 12AWG made of high purity (greater than 99.95% pure),oxygen-free copper.    UL listed CL2 Rated White PVC jacket with rip cord for in-wall installation     Rolled on Spool w/ PE wrap that makes dispensing convenient and easy.    Connects audio speakers to your A/V receiver to amplifier."
82-422-107               ,1774,Cable_Length                                      ,12134,101 - 1000 ft.,250 ft.
82-422-107               ,1707,Cable_Model                                       ,,,SPW-CL2-4C12-250-WH
82-422-107               ,1772,Cable_Specifications                              ,,,"CONSTRUCTION  Conductor:Oxygen-free Copper  Gauge:12AWG  Strand:87/0.22㊣0.008*4C  Outer Dimensions of Jacket:OD9.0mm  PVC Jacket color: White w/ Rip Cord  Flame Rate;CL2(CM)  UL Listed    MECHANICAL PROPERTIES  Tensile Strength(PSI):≡1500  Elongation(%):≡100  Cold Bend(-20㊣1⊥X4H): No Crack  Heat Shock(100㊣1⊥X1H):No Crack    ELECTRICAL PROPERTIES  Inductance:0.24mH  Capacitance Conductor to Conductor:266.6 PF/M  Conductor  Resistance:Max. 5.53次/km,at 20⊥  Voltage rating:300V  Spark Test:1.5kv"
82-422-108               ,10897,A/V Cable_Shielding                               ,57115,Triple-shielded,
82-422-108               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-108               ,1770,Cable_Color                                       ,12169,Black,
82-422-108               ,7341,Cable_Connector Detail                            ,,,HDMI A Male to A Male
82-422-108               ,1773,Cable_Features                                    ,,,"Supports the newest HDMI Technology, supports 18Gbps and is 4K/2K (3840/2160P) and Ultra HD compatible.  Clock rate up to 600MH,bandwidth increases to 6Gbps/channel,total 18Gbps for all 3 TMDS channels    Compliant with all of the following new features from the latest HDMI specification  1. 4096x2160P@60Hz, which is 4 times the clarity of 1080P/60Hz video resolution  2. Up to 32 audio channels for a multi-dimensional immersive audio experience  3. Up to 1536kHz audio sample frequency for the highest audio fidelity  4. Simultaneous delivery of dual video streams to multiple users on the same screen  5. Simultaneous delivery of multi-stream audio to multiple users (up to 4)  6. Support for the wide angle theatrical 21:9 video aspect ratio  7. Dynamic synchronization of video and audio streams  8. CEC extensions provides expanded command and control of consumer electronics devices through a single control point    Backwards compliant with previous HDMI Specification,features  1. 1080P Resolution - Supports High Speed 10.2 Gbps at 340 MHz  2. Support for 4K x 2K at 30Hz Resolution - Support resolution up to 3840x2160@24Hz /@25Hz /@30Hz,4096x2160@24Hz,4 timesthe resolution of 1080P/30Hz  3. HDMI Ethernet Channel - Consolidation of HD video, audio, and datain a single cable.Enables high speed bi-directionalcommunication.Enables IP-based applications over HDMI.Transfer speeds up to 100Mbps  4. Audio Return Channel - Adds an audio channel that enables ※upstream§audio connections via HDMI Simplifiesthe audio connection between the TV and Audio/Video Receiver.Helps reduceyet another cable within the home  5. 3D Video up to 1080P - Supports many 3D techniques,as Full side-by-side,Half side-by-side,Frame alternative,Field alternative,Line alternative,Left + Depth,Left + Depth + Gfx + Gfx Depth  6. Deep Color up to 16-bits per channel (48-bit total)  7. x.v.Color?  8. High definition multichannel audio, including DTS-HD Master Audio and Dolby TrueHD?"
82-422-108               ,1774,Cable_Length                                      ,12125,36" - 40",3 ft.
82-422-108               ,1707,Cable_Model                                       ,,,EA-HDAC-3-BK
82-422-108               ,1772,Cable_Specifications                              ,,,Connector finish: Gold Plated  Conductor: Tinned Copper  Gauge: 28AWG  Ferrite Cores: Two  OD: 7.3mm  Fire Flame: VW-1
82-422-108               ,5729,Cable_Terminal Gender                             ,37846,M-M,
82-422-108               ,1775,Cable_Type                                        ,22877,HDMI to HDMI,
82-422-108               ,36865,Group_Cable Length                                ,446922,3 ft.,
82-422-109               ,10897,A/V Cable_Shielding                               ,57115,Triple-shielded,
82-422-109               ,1769,Cable_Brand                                       ,300315,Coboc,
82-422-109               ,1770,Cable_Color                                       ,12169,Black,
82-422-109               ,7341,Cable_Connector Detail                            ,,,HDMI A Male to A Male
